"","id","Estimate.TreatmentEcN","Std. Error.TreatmentEcN","t value.TreatmentEcN","Pr(>|t|).TreatmentEcN","Estimate.Day_of_study_factorDay_43","Std. Error.Day_of_study_factorDay_43","t value.Day_of_study_factorDay_43","Pr(>|t|).Day_of_study_factorDay_43","Estimate.Day_of_study_factorDay_59","Std. Error.Day_of_study_factorDay_59","t value.Day_of_study_factorDay_59","Pr(>|t|).Day_of_study_factorDay_59","Estimate.Day_of_study_factorDay_69","Std. Error.Day_of_study_factorDay_69","t value.Day_of_study_factorDay_69","Pr(>|t|).Day_of_study_factorDay_69","Estimate.department_pre_weaningd2","Std. Error.department_pre_weaningd2","t value.department_pre_weaningd2","Pr(>|t|).department_pre_weaningd2","Estimate.department_pre_weaningd6","Std. Error.department_pre_weaningd6","t value.department_pre_weaningd6","Pr(>|t|).department_pre_weaningd6","Estimate.department_pre_weaningd7","Std. Error.department_pre_weaningd7","t value.department_pre_weaningd7","Pr(>|t|).department_pre_weaningd7","pval.adjust.TreatmentEcN","pval.adjust.Day_of_study_factorDay_43","pval.adjust.Day_of_study_factorDay_59","pval.adjust.Day_of_study_factorDay_69","pval.adjust.department_pre_weaningd2","pval.adjust.department_pre_weaningd6","pval.adjust.department_pre_weaningd7"
"28","k__8138091184",-0.12490070587555,0.137882029308467,-0.905851955486705,0.367966149173128,0.511951772950132,0.19284275181,2.65476284768295,0.00971902612137719,-0.0223654544884228,0.214383520614936,-0.104324504160907,0.917195214529677,0.152164452860615,0.207916517322164,0.731853605574001,0.466578727610362,0.0812613174577081,0.18660475211662,0.435472926257115,0.664491884974223,0.0963447162788214,0.201042606707923,0.479225363501142,0.633197211873604,-0.0845910220540715,0.187754470172996,-0.450540655442877,0.653643267412738,0.640261099561243,0.0338222109023926,0.961397393543156,0.640341655856433,0.770810586570098,0.786973677614336,0.812385203784402
"29","k__813809638",0.133229118944851,0.0683825529742417,1.94829109400223,0.0553991380551498,1.52022952010564,17677.6695293519,8.599716821165e-05,0.999931629347855,1.43200869456902,17677.6695294041,8.10066446930175e-05,0.999935596982532,1.64612451788348,17677.6695293747,9.31188647433497e-05,0.999925967358687,-0.14817258122541,0.110845491893761,-1.33674882662279,0.185642794065135,-0.0872562742845727,0.0939367173207099,-0.92888358006668,0.356148687861893,0.00732509532300765,0.0848417341997002,0.0863383497768428,0.931444496827506,0.253669737410423,0.999931629347855,0.999935596982532,0.999925967358687,0.400670704936029,0.645519496749681,0.964710371714202
"30","k__813809260",0.0634065002366735,0.137502985995583,0.461128169527243,0.645935951652931,-0.0274871658596817,0.153011735095104,-0.179640900370138,0.857880748735042,-0.403543168793853,0.266485360107073,-1.51431646613424,0.133817535108554,-0.442668847475054,0.214276653924225,-2.06587530357645,0.042019743407377,0.129912260136035,0.193343724580843,0.671923851770604,0.50353408361739,-0.0778511987048528,0.200089777449471,-0.389081339872612,0.698231545166455,0.158344768700236,0.196247913598045,0.806860902605864,0.422096976308322,0.814440982518913,0.888519346904151,0.253089685966179,0.0937363506779949,0.663749473859286,0.801675700126141,0.644253279628491
"31","k__8138091178",-0.0409842125288801,0.121000740340417,-0.33871042783356,0.735822394609938,0.175879570603982,0.140177519647614,1.25469170125222,0.213684079908273,0.130343681236475,0.208199414562138,0.626052102550811,0.533277943040229,0.109593792811488,0.167959867988497,0.652499874666452,0.516174978776244,-0.016965483892878,0.162981558033238,-0.104094500614714,0.917386330379243,-0.0983937351448447,0.184562190965433,-0.533119674350164,0.595607024023782,-0.0308566649585736,0.156186127219513,-0.197563416853315,0.843948269543265,0.889118726820342,0.338009362763996,0.626961906006755,0.649123474378699,0.98624903139915,0.770508824386405,0.938310369895029
"32","k__813809568",-0.173321009916615,0.269984931524073,-0.641965493919281,0.522860207280052,0.298085030619776,0.513818357129291,0.580136981257696,0.56356760873826,1.27890885932345,0.385487307981466,3.31764193747447,0.00140430366530266,0.0316949696129371,0.420698867244852,0.0753388518027318,0.940146451756879,1.03012471859384,0.332268755731237,3.10027560769836,0.00272621826159854,0.0232336446607607,0.346603265053658,0.0670323883335716,0.946734957276689,0.398898325951276,0.319986667388677,1.24660920783536,0.216434610892332,0.72577650831363,0.69056876000322,0.00547215762351101,0.962267544739394,0.0474361977518146,0.98752824990291,0.446968697117659
"33","k__813809168",0.0691133096000995,0.0971928988907117,0.711094230019971,0.479299487942862,-0.130859127573506,0.112078675717275,-1.16756489792586,0.246794589989071,0.0132189206600539,0.156982897404899,0.0842061197657661,0.933123830821565,-0.255976652663541,0.15216160339259,-1.6822683709707,0.0968043825352013,0.00534225429641179,0.146408599850986,0.0364886646129333,0.970992650680825,-0.179833004192908,0.148550046544559,-1.21058867618036,0.229971276640807,-0.0212042055025178,0.142219827273603,-0.149094580615156,0.881891514941373,0.706763651712356,0.357852155484153,0.966449681922335,0.183086549577446,0.98624903139915,0.513012847891032,0.953641716093902
"34","k__813809165",0.200651050305645,0.122498702291592,1.63798510965465,0.105557323740318,-0.219915011870099,0.144087353292694,-1.52626172141126,0.131094323067952,-0.667945435222261,0.199202986117737,-3.35308947039318,0.00124809741241666,-0.274220615922523,0.180011046915553,-1.52335437530768,0.131819022495415,-0.118796021688314,0.173091294710913,-0.686320024855784,0.494599185067375,-0.2535753936981,0.178143323756378,-1.42343472857214,0.158701131625129,0.177379090971285,0.165281964855604,1.07319084163992,0.286580089792893,0.327981684478844,0.223631492292388,0.00517068928001187,0.244005424619173,0.663337954405059,0.419224801154432,0.508825873713913
"35","k__813809203",-0.01140957097948,0.0753923338326523,-0.151335956846829,0.880163827302245,-0.173911936414615,0.0932540702068221,-1.86492596010991,0.0665562255362916,-0.195236619261715,0.115908909662266,-1.6843969961463,0.0967417581444086,0.0331908981585242,0.119482079526446,0.277789759686747,0.782026103597477,-0.552447209040118,0.118518771527363,-4.66126337558749,1.53696887928737e-05,-0.295114765831959,0.101541210337403,-2.90635462046736,0.00494729077694406,-0.297375415464885,0.0987863283144085,-3.0102891821065,0.00367305558014237,0.925037811321113,0.142018751895941,0.205281291672282,0.814833858717208,0.000579895698955667,0.0682637935369298,0.0456508336389124
"36","k__813809266",-0.0418550885796322,0.112201100288512,-0.373036346987747,0.710148394138999,0.365489707491754,0.141456075473682,2.58376818576275,0.0116693418624767,0.218086955362096,0.171415655054926,1.27226976609701,0.207113632876428,0.123885964595287,0.176672280882359,0.701219025285465,0.485284401765251,0.320255113840021,0.17142675265632,1.86817465114138,0.0655495357756716,0.292420737424328,0.1765875966593,1.65595286960336,0.1018095637456,0.333995238690799,0.17155282617973,1.94689441222544,0.0552016168495243,0.870181835071731,0.03500802558743,0.3336830751898,0.649123474378699,0.203671771874408,0.340670463302586,0.228692412662315
"37","k__813809192",-0.0145181760721561,0.129495914199517,-0.112113004969312,0.910999568452178,-0.229037316185913,0.150168910993874,-1.52519795655477,0.130942072381811,-0.843806620654294,0.21921068350833,-3.84929514907621,0.000229408169709759,-0.55809940260459,0.199995730503882,-2.79055658437548,0.0065022058620176,0.345758905703784,0.182557649615458,1.89397106301541,0.0616485477313914,0.149876076774165,0.190293054587924,0.787606658050229,0.43312942058395,0.179062074312273,0.190578945051665,0.939569028801841,0.350115381400865,0.929847513671969,0.223631492292388,0.00124740692279681,0.0202032824998404,0.203671771874408,0.709590306619822,0.582357942443158
